epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.64838,0.98389,0.5,1,0.69009,1.667e-05,1.667e-05,1.667e-05
2,4.10198,0.85664,0.5,1,0.62269,4.95149e-05,4.95149e-05,4.95149e-05
3,5.03538,0.89963,0.75,1,0.5506,8.16997e-05,8.16997e-05,8.16997e-05
4,5.96563,0.65858,1,1,0.50659,0.000113224,0.000113224,0.000113224
5,6.89781,0.40724,0.75,1,0.47833,0.000144089,0.000144089,0.000144089
6,7.82723,0.35817,0.75,1,0.42176,0.000174293,0.000174293,0.000174293
7,8.77362,0.25792,0.75,1,0.41406,0.000203837,0.000203837,0.000203837
8,9.72614,0.19023,0.75,1,0.42538,0.000232722,0.000232722,0.000232722
9,10.6595,0.13966,0.75,1,0.43344,0.000260946,0.000260946,0.000260946
10,11.6415,0.18365,0.75,1,0.46688,0.000288509,0.000288509,0.000288509
11,12.527,0.16474,0.75,1,0.47993,0.000315413,0.000315413,0.000315413
12,13.4211,0.05892,0.75,1,0.45041,0.000341657,0.000341657,0.000341657
13,14.3113,0.03286,0.75,1,0.39831,0.00036724,0.00036724,0.00036724
14,15.2029,0.06043,0.75,1,0.36444,0.000392163,0.000392163,0.000392163
15,16.0934,0.01567,0.75,1,0.28477,0.000416427,0.000416427,0.000416427
16,16.983,0.03353,0.75,1,0.26578,0.00044003,0.00044003,0.00044003
17,17.8677,0.01803,0.75,1,0.27679,0.000462973,0.000462973,0.000462973
18,18.7562,0.26709,0.75,1,0.31013,0.000485255,0.000485255,0.000485255
19,19.6465,0.01184,0.75,1,0.38688,0.000506878,0.000506878,0.000506878
20,20.5348,0.1572,0.75,1,0.51911,0.000527841,0.000527841,0.000527841
21,21.4084,0.13654,0.75,1,0.2979,0.000548143,0.000548143,0.000548143
22,22.2945,0.50795,0.75,1,0.3628,0.000567785,0.000567785,0.000567785
23,23.1829,0.00819,1,1,0.07944,0.000586767,0.000586767,0.000586767
24,24.0733,0.35577,1,1,0.03442,0.000605089,0.000605089,0.000605089
25,24.966,0.09396,1,1,0.02394,0.000622751,0.000622751,0.000622751
26,25.8621,0.11603,1,1,0.0332,0.000639753,0.000639753,0.000639753
27,26.7513,0.01012,1,1,0.02953,0.000656095,0.000656095,0.000656095
28,27.6361,0.17199,1,1,0.02953,0.000671776,0.000671776,0.000671776
29,28.5336,0.05439,1,1,0.03561,0.000686797,0.000686797,0.000686797
30,29.4285,0.01768,1,1,0.03797,0.000701159,0.000701159,0.000701159
31,30.3099,0.08454,1,1,0.03797,0.00071486,0.00071486,0.00071486
32,31.2016,0.0098,1,1,0.04444,0.000727901,0.000727901,0.000727901
33,32.0895,0.02083,1,1,0.0565,0.000740281,0.000740281,0.000740281
34,32.9734,0.03659,1,1,0.0565,0.000752002,0.000752002,0.000752002
35,33.8635,0.01869,1,1,0.05308,0.000763063,0.000763063,0.000763063
36,34.7586,0.01253,1,1,0.04031,0.000773463,0.000773463,0.000773463
37,35.6468,0.01918,1,1,0.04031,0.000783203,0.000783203,0.000783203
38,36.5369,0.04648,1,1,0.05567,0.000792283,0.000792283,0.000792283
39,37.4313,0.01831,1,1,0.06837,0.000800703,0.000800703,0.000800703
40,38.3185,1.05294,1,1,0.06837,0.000808463,0.000808463,0.000808463
41,39.2107,0.00999,1,1,0.14254,0.000815563,0.000815563,0.000815563
42,40.1056,0.00928,1,1,0.13286,0.000822003,0.000822003,0.000822003
43,40.9848,0.01643,1,1,0.13286,0.000827782,0.000827782,0.000827782
44,41.8743,0.02095,1,1,0.17739,0.000832902,0.000832902,0.000832902
45,42.756,0.05978,1,1,0.17739,0.000837361,0.000837361,0.000837361
46,43.644,0.00924,1,1,0.23099,0.00084116,0.00084116,0.00084116
47,44.5249,0.00397,1,1,0.23099,0.000844299,0.000844299,0.000844299
48,45.4181,0.01984,0.75,1,0.3301,0.000846778,0.000846778,0.000846778
49,46.3018,0.16145,0.75,1,0.3301,0.000848596,0.000848596,0.000848596
50,47.1928,0.01647,1,1,0.16556,0.000849755,0.000849755,0.000849755
51,48.0735,0.01029,1,1,0.16556,0.000841835,0.000841835,0.000841835
52,48.9663,0.03142,1,1,0.16197,0.000825332,0.000825332,0.000825332
53,49.8529,0.05402,1,1,0.16197,0.000808828,0.000808828,0.000808828
54,50.7483,0.00286,1,1,0.08982,0.000792325,0.000792325,0.000792325
55,51.6284,0.01654,1,1,0.08982,0.000775822,0.000775822,0.000775822
56,52.5254,0.00491,1,1,0.16602,0.000759318,0.000759318,0.000759318
57,53.4052,0.10951,1,1,0.16602,0.000742815,0.000742815,0.000742815
58,54.3002,0.02208,1,1,0.08197,0.000726312,0.000726312,0.000726312
59,55.1851,0.00489,1,1,0.08197,0.000709809,0.000709809,0.000709809
60,56.0795,0.00797,1,1,0.04022,0.000693305,0.000693305,0.000693305
61,56.9579,0.00292,1,1,0.04022,0.000676802,0.000676802,0.000676802
62,57.8516,0.00178,1,1,0.02671,0.000660299,0.000660299,0.000660299
63,58.7366,0.00137,1,1,0.02671,0.000643795,0.000643795,0.000643795
64,59.6288,0.00316,1,1,0.01252,0.000627292,0.000627292,0.000627292
65,60.5141,0.00422,1,1,0.01252,0.000610789,0.000610789,0.000610789
66,61.4086,0.06868,1,1,0.0131,0.000594286,0.000594286,0.000594286
67,62.286,0.00747,1,1,0.0131,0.000577782,0.000577782,0.000577782
68,63.1845,0.00805,1,1,0.01486,0.000561279,0.000561279,0.000561279
69,64.0719,0.01328,1,1,0.01486,0.000544776,0.000544776,0.000544776
70,64.966,0.00249,1,1,0.01485,0.000528272,0.000528272,0.000528272
71,65.8531,0.01555,1,1,0.01485,0.000511769,0.000511769,0.000511769
72,66.7471,0.03149,1,1,0.01061,0.000495266,0.000495266,0.000495266
73,67.6348,0.00345,1,1,0.01061,0.000478762,0.000478762,0.000478762
74,68.529,0.00064,1,1,0.01021,0.000462259,0.000462259,0.000462259
75,69.4151,0.00079,1,1,0.01021,0.000445756,0.000445756,0.000445756
76,70.3083,0.00248,1,1,0.00863,0.000429253,0.000429253,0.000429253
77,71.1904,0.02375,1,1,0.00863,0.000412749,0.000412749,0.000412749
78,72.0791,0.00116,1,1,0.01908,0.000396246,0.000396246,0.000396246
79,72.9652,0.41022,1,1,0.01908,0.000379743,0.000379743,0.000379743
80,73.8668,0.01151,1,1,0.01726,0.000363239,0.000363239,0.000363239
81,74.7513,3.46377,1,1,0.01726,0.000346736,0.000346736,0.000346736
82,75.6387,0.00055,1,1,0.02727,0.000330233,0.000330233,0.000330233
83,76.5216,0.00499,1,1,0.02727,0.000313729,0.000313729,0.000313729
84,77.4162,0.00082,1,1,0.03141,0.000297226,0.000297226,0.000297226
85,78.3037,0.01137,1,1,0.03141,0.000280723,0.000280723,0.000280723
86,79.1935,0.00105,1,1,0.01486,0.00026422,0.00026422,0.00026422
87,80.0764,0.33511,1,1,0.01486,0.000247716,0.000247716,0.000247716
88,81.0178,0.00099,1,1,0.01066,0.000231213,0.000231213,0.000231213
89,81.8963,0.00036,1,1,0.01066,0.00021471,0.00021471,0.00021471
90,82.7864,0.24812,1,1,0.01666,0.000198206,0.000198206,0.000198206
91,83.6754,0.00596,1,1,0.01666,0.000181703,0.000181703,0.000181703
92,84.5628,0.00107,1,1,0.01303,0.0001652,0.0001652,0.0001652
93,85.4426,0.00134,1,1,0.01303,0.000148696,0.000148696,0.000148696
94,86.3309,0.00049,1,1,0.01416,0.000132193,0.000132193,0.000132193
95,87.2162,0.00064,1,1,0.01416,0.00011569,0.00011569,0.00011569
96,88.1112,0.3167,1,1,0.00747,9.91865e-05,9.91865e-05,9.91865e-05
97,88.9975,0.0002,1,1,0.00747,8.26832e-05,8.26832e-05,8.26832e-05
98,89.8924,0.03218,1,1,0.01404,6.61799e-05,6.61799e-05,6.61799e-05
99,90.7734,0.0083,1,1,0.01404,4.96766e-05,4.96766e-05,4.96766e-05
100,91.6629,0.00215,1,1,0.02063,3.31733e-05,3.31733e-05,3.31733e-05
