epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.876056,0.00052,0.75,1,0.24261,1.667e-05,1.667e-05,1.667e-05
2,1.81759,0.73025,0.75,1,0.67626,4.95149e-05,4.95149e-05,4.95149e-05
3,2.71995,0,0.75,1,0.52978,8.16997e-05,8.16997e-05,8.16997e-05
4,3.61803,2e-05,0.75,1,0.68539,0.000113224,0.000113224,0.000113224
5,4.51693,0.00097,0.75,1,0.60902,0.000144089,0.000144089,0.000144089
6,5.42247,0.00032,0.75,1,0.53056,0.000174293,0.000174293,0.000174293
7,6.32559,0.00037,0.75,1,0.56909,0.000203837,0.000203837,0.000203837
8,7.23654,0.00011,0.75,1,0.697,0.000232722,0.000232722,0.000232722
9,8.1226,2e-05,0.75,1,0.70578,0.000260946,0.000260946,0.000260946
10,9.01488,0,0.75,1,0.89385,0.000288509,0.000288509,0.000288509
11,9.90567,0,0.75,1,0.96668,0.000315413,0.000315413,0.000315413
12,10.7973,1e-05,0.75,1,1.36589,0.000341657,0.000341657,0.000341657
13,11.6818,2e-05,0.75,1,1.21915,0.00036724,0.00036724,0.00036724
14,12.5763,0,0.75,1,1.3235,0.000392163,0.000392163,0.000392163
15,13.4696,1e-05,0.75,1,1.12114,0.000416427,0.000416427,0.000416427
16,14.3649,0,0.75,1,1.68486,0.00044003,0.00044003,0.00044003
17,15.2551,0,0.75,1,1.54062,0.000462973,0.000462973,0.000462973
18,16.1493,0,0.75,1,1.39192,0.000485255,0.000485255,0.000485255
19,17.0451,2e-05,0.75,1,1.87257,0.000506878,0.000506878,0.000506878
20,17.9388,1e-05,0.75,1,2.5416,0.000527841,0.000527841,0.000527841
21,18.8288,1e-05,0.75,1,2.17121,0.000548143,0.000548143,0.000548143
22,19.7118,0,0.75,1,2.6533,0.000567785,0.000567785,0.000567785
23,20.6013,0.00171,0.75,1,2.18551,0.000586767,0.000586767,0.000586767
24,21.4924,0,0.75,1,1.97478,0.000605089,0.000605089,0.000605089
25,22.381,0.00014,0.75,1,1.68181,0.000622751,0.000622751,0.000622751
26,23.2808,0,0.75,1,2.09865,0.000639753,0.000639753,0.000639753
27,24.1825,2e-05,0.75,1,1.87211,0.000656095,0.000656095,0.000656095
28,25.0755,0,0.75,1,1.87211,0.000671776,0.000671776,0.000671776
29,25.9797,0.00031,0.75,1,2.16751,0.000686797,0.000686797,0.000686797
30,26.8782,0.00394,0.75,1,2.19864,0.000701159,0.000701159,0.000701159
31,27.7619,3e-05,0.75,1,2.19864,0.00071486,0.00071486,0.00071486
32,28.6538,0,0.75,1,2.31384,0.000727901,0.000727901,0.000727901
33,29.5517,1e-05,0.75,1,2.32845,0.000740281,0.000740281,0.000740281
34,30.4404,0,0.75,1,2.32845,0.000752002,0.000752002,0.000752002
35,31.3366,0.0002,0.75,1,1.9244,0.000763063,0.000763063,0.000763063
36,32.2278,0,0.75,1,1.36234,0.000773463,0.000773463,0.000773463
37,33.1175,0,0.75,1,1.36234,0.000783203,0.000783203,0.000783203
38,34.0143,0,0.75,1,1.6656,0.000792283,0.000792283,0.000792283
39,34.9149,0,0.75,1,1.57396,0.000800703,0.000800703,0.000800703
40,35.807,1e-05,0.75,1,1.57396,0.000808463,0.000808463,0.000808463
41,36.7031,1e-05,0.75,1,1.7038,0.000815563,0.000815563,0.000815563
42,37.6142,1e-05,0.75,1,1.35784,0.000822003,0.000822003,0.000822003
43,38.4971,0,0.75,1,1.35784,0.000827782,0.000827782,0.000827782
44,39.3995,1e-05,0.75,1,1.51508,0.000832902,0.000832902,0.000832902
45,40.2944,0.00635,0.75,1,1.51508,0.000837361,0.000837361,0.000837361
46,41.1949,1e-05,0.75,1,1.86752,0.00084116,0.00084116,0.00084116
47,42.0904,0,0.75,1,1.86752,0.000844299,0.000844299,0.000844299
48,42.9834,0.00011,0.75,1,3.28683,0.000846778,0.000846778,0.000846778
49,43.869,1e-05,0.75,1,3.28683,0.000848596,0.000848596,0.000848596
50,44.8161,1e-05,0.75,1,4.3645,0.000849755,0.000849755,0.000849755
51,45.6964,0,0.75,1,4.3645,0.000841835,0.000841835,0.000841835
52,46.5893,4e-05,0.75,1,5.43071,0.000825332,0.000825332,0.000825332
53,47.4748,0,0.75,1,5.43071,0.000808828,0.000808828,0.000808828
54,48.3707,0,0.75,1,6.02287,0.000792325,0.000792325,0.000792325
55,49.2543,0.00032,0.75,1,6.02287,0.000775822,0.000775822,0.000775822
56,50.1513,7e-05,0.5,1,8.27825,0.000759318,0.000759318,0.000759318
57,51.0323,2e-05,0.5,1,8.27825,0.000742815,0.000742815,0.000742815
58,51.9121,1e-05,0.5,1,8.5628,0.000726312,0.000726312,0.000726312
